Product Name,Price,Rating
NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2).,KSh 952,4.5 out of 5
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)","KSh 1,799",3.9 out of 5
Vision Plus 10KG Twin Tub Top Load Washing Machine (2YRS WRTY),"KSh 23,599",4.3 out of 5
"HP Elitebook 820  Core I5, 8GB RAM-+ 500 GB HDD -12.5"" Refurbished","KSh 16,499",1 out of 5
Vitron VDR170DS 170 Liters Double Door Fridge - Silver Hairline (1YR WRTY),"KSh 29,999",4.2 out of 5
William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,749",4.6 out of 5
"Sunnypex ALL WEATHERED -300 WATTS SOLAR FULLKIT.300WATTS SOLAR PANEL,200AH BATTERY,30A CONTROLLE,4 BULBS,10M Cable","KSh 21,700",3.6 out of 5
RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 366,3.6 out of 5
Lyons FK-0323 Stainless Steel 1.8L Electric Kettle-Black,KSh 579,4.2 out of 5
Lyons GK-011 Stainless Steel Double Burner Gas Cooker Table Top Gas Stove - Black (1YR WRTY),"KSh 1,599",3.8 out of 5
"Em ElectroMate Blow Dryer Hair Blower 2200W With 3 Speed & 2 Temperature Settings, Black",KSh 999,3.7 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 365,3.7 out of 5
Em ElectroMate Dry Iron Box 1000W With 5-Gear Temperature Control  (1YR WRTY),KSh 649,3.8 out of 5
Istanbul 2 Modern TV Stand With LED Lights,"KSh 5,030",3.7 out of 5
GUEETON 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,KSh 460,3.5 out of 5
Lyons YT-121 Mixing Blender 2 In 1 With Grinder Machines 1.6L-350W- Black/White,"KSh 1,499",3.9 out of 5
G03 Neckband Wireless Bluetooth In-Ear Sports Earphone Headset,KSh 339,3.7 out of 5
"Em Blender 2 In 1 Grinding Machine With Durable Motor 1.5L, White  BD01 (1YR WRTY)","KSh 1,399",4.1 out of 5
Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,KSh 999,3.9 out of 5
Lyons FK-0326 Stainless Steel 2.2L Electric Kettle-Red,KSh 669,4.2 out of 5
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 9,116",4.1 out of 5
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones Black,KSh 389,3.7 out of 5
Lyons LYS2403 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),"KSh 2,599",3.8 out of 5
Lyons LYS3602 3.1CH Multimedia Speaker System Home Theatrer SubWoofer With BT(1YR WRTY),"KSh 4,199",3.9 out of 5
10000mAh Small Size Unique Design  2A Fast Charger with 2-in-2-out Fast Charging Power Bank,KSh 598,3.7 out of 5
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 12,522",3.8 out of 5
Lyons AN-2001K High Quality Electric Dry Iron Box With Non-stick Sole Plate   - 1000W Blue(1YR WRTY),KSh 669,4 out of 5
"Vitron HTC3200S 32"" Inches Bluetooth Connectivity TV Smart Android Television With Inbuilt Wi-Fi Connectivity, Inbuilt Decoder Netflix Youtube App Store + GIFTS (1 YEAR WARRANTY )","KSh 12,695",3.9 out of 5
RichRipple Sports Bluetooth  Into The Ear Neck Hanging Type Running Stereo Large Capacity Wireless Earphone,KSh 312,3.7 out of 5
RichRipple Tws Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 367,3.7 out of 5
GUEETON Ultra-thin Wireless Mouse 2.4G Bluetooth Dual Mode Rechargeable Silver,KSh 359,4.4 out of 5
Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black,KSh 903,3.9 out of 5
GUEETON GUEETON Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover,KSh 490,3.6 out of 5
LUMINOUS ISTANBUL 2 TV CONSOLE 4FT WITH CABINET,"KSh 4,999",3.6 out of 5
"Mexico Modern Wooden TV Stand For Up To 55"" TV","KSh 3,610",3.5 out of 5
RichRipple A6S Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 413,3.6 out of 5
GUEETON 2.4G  Bluetooth Dual Mode Rechargeable Wireless Mouse Black,KSh 357,4.4 out of 5
"Mosquito Net With Metallic Stand White 4*6, 5*6, 6*6","KSh 1,169 - KSh 1,189",4 out of 5
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM (1YR WRTY),"KSh 5,199",3.8 out of 5
STY 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Synthetic Leather-Black,KSh 831,3.4 out of 5
Mens Sneakers Shoes Sports Shoes Breathable Running Shoes -White,KSh 959,3.9 out of 5
"Samsung Samsung, 25watts USB C TYPE C Adapter",KSh 330,4 out of 5
Garnier Acne Control Routine Kit: Pure Active Charcoal Wash 150ml+ AHA+BHA Charcoal Serum 30ml+ Mattifying Air Cream 50ml,"KSh 2,873",4.3 out of 5
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 16,436",4.1 out of 5
"Samsung 45W USB C Plug For Samsung, SuperFast Charger Plug And Cable 1M, USB C Super Fast Charger For Galaxy S23 Ultra/S22+/S22 Ultra/S21/S20/A13/A14/A54 5G, UK Type C Charger Plug - White.",KSh 650,3.6 out of 5
Amaze TV Guard/DVD Guard - 13A.,KSh 485,4.1 out of 5
L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 30ML,"KSh 1,840",4.5 out of 5
6Pcs Pure Cotton Checked Men's Boxers – Multicolor,"KSh 699 - KSh 1,250",3.9 out of 5
Wireless Sports Bluetooth Earphone Headphone Magnetic Neck-hanging Headset-Black,KSh 247,3.6 out of 5
RichRipple USB Rechargeable Beard Hair Trimmer Electric Hair Clippers Salon Hair Cutting Kit With Limit Comb,KSh 330,3.8 out of 5
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black.,KSh 624 - KSh 670,3.3 out of 5
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 9,350",4.3 out of 5
6pcs mixed assorted colours light cotton fabric waist 28-32  Men Boxers,KSh 489,3.3 out of 5
Lyons AN-2005 Electric Dry Iron Box 10s HEAT UP- 1000W Black(1YR WRTY),KSh 719,3.9 out of 5
Garnier Bye Acne & Dark Spots Skin Care Kit: 3 In 1 Charcoal Cleanser 150ml + Vitamin C Brightening Booster Face Serum + SPF30 UV Protective Sunscreen 50ml,"KSh 2,824",4.2 out of 5
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones..,KSh 390,3.6 out of 5
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 15,298",4.2 out of 5
"RichRipple Desktop Smartphone Holder, Foldable Phone Stand - Black",KSh 211,4.2 out of 5
TOUPHY Manicure Nail Clippers Kit Pedicure Set Nail 19Pcs,KSh 359,4.4 out of 5
"Mosquito Net With Metallic Stand,,","KSh 1,169",3.9 out of 5
"AILYONS SB501 2.1CH Sound Bar SubWoofer With Bluetooth Home Theatrer 18000W PMPO - Black,  (1YR WRTY)","KSh 4,299",3.8 out of 5
"Samsung Galaxy A16, 6GB+128GB ROM 6.7"" HD, Android 14,50MP-Camera, Battery-5000mah (Dual Sim)+COVER","KSh 17,799",4 out of 5
"14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 245,4.1 out of 5
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,KSh 499,4.1 out of 5
"Samsung 25W Watts Fast Charger Adapter For Galaxy A15,A25,A05S,S23FE With Type C Output",KSh 370,4.2 out of 5
3 Pcs Soft Khaki Men's Trouser Slim Fit- Grey Black Parliament Blue,"KSh 1,999 - KSh 2,799",3.9 out of 5
Lyons LYS2404 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),"KSh 2,799",4 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 367,3.8 out of 5
"XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM+GIFTS WATCH,I12 EAR BUDS,COVER","KSh 11,880",3.8 out of 5
Garnier Skin Active Super UV Invisible Sunscreen Serum SPF50 With Vitamin C - Protects And Reduces 53% Dark Marks,"KSh 1,450",4.3 out of 5
Rechargeable Metal Simple Style Hair Clipper,KSh 378,3.8 out of 5
Nunix 5 Tier Portable Shoe Rack Slim Design Green,KSh 378,3.8 out of 5
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM + WW SP,"KSh 11,880",4 out of 5
"Vitron 32""Inch Bluetooth/Frameless Smart Android TV Inbuilt Decoder+FREE GIFTS","KSh 12,350",4.4 out of 5
Winvas PORTABLE WARDROBE,"KSh 2,240",4 out of 5
Men's Soft Sole Leather Shoes Casual Slip-Ons Formal Shoes - Black,KSh 804,3.5 out of 5
bensoo M10 Bluetooth Headsets Wireless Earphones Earpods,KSh 399,3.5 out of 5
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black","KSh 8,105",4.1 out of 5
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,KSh 828,3.8 out of 5
RichRipple T500 Fitpro Smart Watch Health Monitor 1.44 “Black,KSh 607,3.4 out of 5
Rashnik 3 Column Portable Wardrobe - Cover Grey,"KSh 1,798",3.8 out of 5
